A&AS,advisory and assistance services
DCSPER,deputy chief of staff for personnel 
DCSRM,deputy chief of staff for resource management
DCST,deputy chief of staff for training
DCST,dla contingency support team
DCST-R,"dla contingency support team, rear"
DCTN,defense commercial telecommunication network
DD,destroyer
DD,drawdown
DD,department of defense
DD,data dictionary
DD,defense depot
DD FORM,department of defense form
DD,TFR,"deputy director, test facilitie and resource"
DD/EFT,direct deposit/electronic fund transfer
DDA,decommissioning and disposal analysis
DDAS,dcii disclosure accounting system
DDB,depot data bank
DDCC,design data category code
DDD,desired delivery date
DDD,determination/decision document
DDDR&E,"deputy director, defense research and engineering"
DDDS,defense data dictionary system
DDE,direct data exchange
DDEP,defense data exchange program
DDEP,defense development exchange program
DDESB,department of defense explosive safety board
DDESB,department of defense explosives safety board
DDF,document description file
DDI,director of defense information
DDL,delegation of disclosure authority letter
DDL,data definition language
DDL,daily delivery list
DDL,delegated disclosure list
DDL,delegation of disclosure letter
DDM,deputy demonstration manager
DDMC,defense depot management council
DDMC,defense depot maintenance council
DDN,defense data network
DDP,demand development period
DDP,dependent dental plan
DDP,director of defense procurement
DDR,"dismantling, demolition, or removal"
DDR,daily demand rate
DDR&E,"director, defense research & engineering"
DDRE,"director, defense research and engineering"
DDRE,defense distribution region east
DDRE-M,"defense depot region east mechanicsburg, site"
DDRS,defense data repository suite
DDRS,defense data repository system
DDRW,defense distribution region west
DDS,document development system
DDSC,defense data system centers
DDSP,defense development sharing program
DDT&E,"director, operational test"
DDTE,"director, defense test and evaluation"
DDU,digital distribution unit
DE,development estimate
DE,data element
DE,developmental education
DE,declaration of excess
DE,directed energy
DE,declaration of excess form
DE,desktop edition
DEA,data exchange annex
DEA,drug enforcement agency
DEA,data exchange agreement
DEA,data exchange annex/drug enforcement agency
DEC,digital equipment corporation
DECA,defense commissary agency
DECA,defense economic cooperation agreement
DECCO,defense commercial communication office
DECERT,operational decertification
DED,data element dictionary
DED,data element definition
DEDB,data entry data base
DEES,dynamic electromagnetic environment simulator
DEF,delivery evaluation factor
DEFA,d'etude et fabrication d'armament
DEFCON,defense condition
DEG,document evaluation guidelines
DEIS,defense enterprise integration service
DEIS,defense energy information system
DELG,defense export loan guarantee
DELP,defense english language program
DEM/VAL,demonstration/validation phase
DEMIL,demilitarization
DEP,defense enterprise program
DEP,delayed enlistment program
DEPID,deployment indicator code
DEPSECDEF,deputy secretary of defense
DER,designated engineering representative
DER,documentation error report
DERA,defense environmental restoration account
DEROS,date eligible return from over seas
DERP,defense environmental restoration program
DES,document entry system
DES,data encryption standard
DESA,defense evaluation and support agency
DESC,defense energy supply center
DESC,defense electronic supply center
DESC,defense environmental security council
DESCOM,depot system command
DETCO,detachment commander
DETS,detachment
DEV,deviation
DEV,develop
DEW,distant early warning
DEW,directed energy weapon
DF,direction finding
DF,damage free
DFAR,defense federal acquisition regulation
DFARS,defense federal acquisition regulation supplement
DFAS,defense finance and accounting service
DFAS,defense finance and accounting system
DFAS,"directorate, fund control branch"
DFAS,"in fy 2008, dfas:"
DFAS-CO,defense finance and accounting service columbus
DFD,data flow diagram
DFM,design for maintainability
DFM,deputy for financial management
DFMA,design for manufacturing and assembly
DFO,defense fuel office
DFO,director of flight operation
DFR,defense fuel region
DFR/O,defense fuel regions/office
DFRC,dryden flight research center 
DFSC,defense fuels supply center
DFSP,defense fuel supply point
DFSP,defense fuel support point
DFT,depot field team
DFT,design-for-test
DG,defense guidance
DG,distinguished graduate
DGARS,defense grant and agreement regulatory system
DGIS,dod gateway information system
DGL,distinguished guest lecturer
DGPS,differential global positioning system
DGR,designated government representative
DGS,distributed ground station 
DGSA,department of defense goal security architecture
DGSC,defense general supply center
DGZ,desired 
DHCP,dynamic host configuration protocol
DHHS,department of health and human services
DHP,defense health program
DHS,department of homeland security
DI,data item
DI,design instruction
DI,design interface
DI,desktop instruction
DI,disposition instruction
DI,document imaging
DIA,due in asset
DIA,defense intelligence agency
DIAP,defense wide information assurance program
DIAS,distributed infosec accounting system
DIB,defense industrial base
DIB,see dib information forum for more information.
DIB,directory information base
DIBS,deskbook information breakdown structure
DIC,document identifier code
DIC,defense industrial cooperation
DIC,direct image copy
DICA,defense industrial cooperation agreement
DIC-MOD,document input code modifier
DICSC,defense industrial cooperation subcommittee
DID,data item description
DIDS,defense integrated data system
DIF,data interchange format
DIFM,due in from maintenance
DIFM,due in for maintenance
difms,defense industrial financial management system
DIFS,defense integrated financial system
DIG,designated industry group
DIGEST,digital geographic information exchange standard
DII,defense information infrastructure
DIILS,defense institute of international legal study
DIIP,defense inactive item program
DIIS,dcaa integrated information system
DIL,digital integration laboratory
DIL,director of international logistics
DIM,defense information management
dima,defense intelligence mission area
DIME,dynamic infrared missile evaluator
DIMES,defense integrated management engineering system
DI-MISC,data item-miscellaneous
DIMMP,defense integrated materiel management program
DINFOS,defense information school
DINTS,defense internet service
DINU,dual inertial navigation unit
DIO,defense information operation
DIP,dual-in-line package
DIP,data information packet
DIPEC,defense industrial plant equipment center
DIPR,detailed in process review
DIPR,departmental industrial plant reserve
DIR, OT&E,"director, operational test and evaluation"
DIRCM,directional infrared countermeasure
DIREP,difficulty report
DIRNSA,"director, national security agency"
DIS,distributed interactive simulation
DIS,defense information system
DIS,defense investigative service
DISA,defense information systems agency
DISA,data interchange standard association
DISA,defense information system agency
DISAC,defense information system agency circular
DISAN,disa circular and disa notice
DISC,defense industrial supply center
DISC,defense information system council
